,,Name,Erscheinungsjahr,Kickstarter?,menschliche Darstellungen?,Nicht männliche C?,Nichtweiße C?,"Nicht ""normschön""?"
,,Spiele des Jahres,,,,,,
2018,1,Azul,2017,nein,nein,x,x,x
2017,2,Kingdomino,2015,nein,nein,x,x,x
2016,3,Codenames,2015,nein,ja,ja,ja,nein
2015,4,Colt Express,2014,nein,ja,ja,ja,nein
2014,5,Camel Up,2014,nein,ja,ja,ja,nein
2013,6,Hanabi,2012,nein,nein,x,x,x
2012,7,Kingdom Builder,2011,nein,ja,ja,nein,nein
2011,8,Qwirkle,2006,nein,nein,x,x,x
2010,9,Dixit,2008,nein,ja,ja,ja,ja
2009,10,Dominion,2008,nein,ja,ja,nein,ja