Number,Name,Erscheinungsjahr,menschliche_Darstellungen,Nicht_männliche_C,Nichtweiße_C,Nicht_normschön,Anleitung_gegendert,image_path,xcoordinate,ycoordinate
1,Gloomhaven,2017,ja,ja,ja,*,nein,images/gloomhaven.jpg,0,0
2,Pandemic_Legacy:_Season_1,2015,ja,ja,ja,nein,nein,images/pandemic.jpg,220,0
3,Through_the_Ages:_A_New_Story_of_Civilization,2015,ja,ja,nein,nein,nein,images/through.jpg,440,0
4,Terraforming_Mars,2016,ja,ja,ja,ja,nein,images/mars.jpg,660,0
5,Twilight_Struggle,2005,ja,ja,ja,ja,nein,images/twilight.jpg,880,0
6,Star_Wars:_Rebellion,2016,ja,ja,ja,nein,nein,images/rebellion.jpg,0,220
7,Gaia_Project,2017,nein,x,x,x,nein,images/gaia.jpg,220,220
8,Scythe,2016,ja,ja,ja,nein,nein,images/scythe.jpg,440,220
9,Twilight_Imperium_(Fourth_Edition),2017,ja,ja,*,*,nein,images/twilight-4.jpg,660,220
10,Great_Western_Trail,2016,ja,nein,nein,nein,nein,images/great.jpg,880,220
1,Gloomhaven,2017,ja,ja,ja,*,nein,images/gloomhaven.jpg,0,0
2,Pandemic_Legacy:_Season_1,2015,ja,ja,ja,nein,nein,images/pandemic.jpg,220,0
3,Through_the_Ages:_A_New_Story_of_Civilization,2015,ja,ja,nein,nein,nein,images/through.jpg,440,0
4,Terraforming_Mars,2016,ja,ja,ja,ja,nein,images/mars.jpg,660,0
5,Twilight_Struggle,2005,ja,ja,ja,ja,nein,images/twilight.jpg,880,0
6,Star_Wars:_Rebellion,2016,ja,ja,ja,nein,nein,images/rebellion.jpg,0,220
7,Gaia_Project,2017,nein,x,x,x,nein,images/gaia.jpg,220,220
8,Scythe,2016,ja,ja,ja,nein,nein,images/scythe.jpg,440,220
9,Twilight_Imperium_(Fourth_Edition),2017,ja,ja,*,*,nein,images/twilight-4.jpg,660,220
10,Great_Western_Trail,2016,ja,nein,nein,nein,nein,images/great.jpg,880,220
1,Gloomhaven,2017,ja,ja,ja,*,nein,images/gloomhaven.jpg,0,0
2,Pandemic_Legacy:_Season_1,2015,ja,ja,ja,nein,nein,images/pandemic.jpg,220,0
3,Through_the_Ages:_A_New_Story_of_Civilization,2015,ja,ja,nein,nein,nein,images/through.jpg,440,0
4,Terraforming_Mars,2016,ja,ja,ja,ja,nein,images/mars.jpg,660,0
5,Twilight_Struggle,2005,ja,ja,ja,ja,nein,images/twilight.jpg,880,0
6,Star_Wars:_Rebellion,2016,ja,ja,ja,nein,nein,images/rebellion.jpg,0,220
7,Gaia_Project,2017,nein,x,x,x,nein,images/gaia.jpg,220,220
8,Scythe,2016,ja,ja,ja,nein,nein,images/scythe.jpg,440,220
9,Twilight_Imperium_(Fourth_Edition),2017,ja,ja,*,*,nein,images/twilight-4.jpg,660,220
10,Great_Western_Trail,2016,ja,nein,nein,nein,nein,images/great.jpg,880,220
1,Gloomhaven,2017,ja,ja,ja,*,nein,images/gloomhaven.jpg,0,0
2,Pandemic_Legacy:_Season_1,2015,ja,ja,ja,nein,nein,images/pandemic.jpg,220,0
3,Through_the_Ages:_A_New_Story_of_Civilization,2015,ja,ja,nein,nein,nein,images/through.jpg,440,0
4,Terraforming_Mars,2016,ja,ja,ja,ja,nein,images/mars.jpg,660,0
5,Twilight_Struggle,2005,ja,ja,ja,ja,nein,images/twilight.jpg,880,0
6,Star_Wars:_Rebellion,2016,ja,ja,ja,nein,nein,images/rebellion.jpg,0,220
7,Gaia_Project,2017,nein,x,x,x,nein,images/gaia.jpg,220,220
8,Scythe,2016,ja,ja,ja,nein,nein,images/scythe.jpg,440,220
9,Twilight_Imperium_(Fourth_Edition),2017,ja,ja,*,*,nein,images/twilight-4.jpg,660,220
10,Great_Western_Trail,2016,ja,nein,nein,nein,nein,images/great.jpg,880,220
1,Gloomhaven,2017,ja,ja,ja,*,nein,images/gloomhaven.jpg,0,0
2,Pandemic_Legacy:_Season_1,2015,ja,ja,ja,nein,nein,images/pandemic.jpg,220,0
3,Through_the_Ages:_A_New_Story_of_Civilization,2015,ja,ja,nein,nein,nein,images/through.jpg,440,0
4,Terraforming_Mars,2016,ja,ja,ja,ja,nein,images/mars.jpg,660,0
5,Twilight_Struggle,2005,ja,ja,ja,ja,nein,images/twilight.jpg,880,0
6,Star_Wars:_Rebellion,2016,ja,ja,ja,nein,nein,images/rebellion.jpg,0,220
7,Gaia_Project,2017,nein,x,x,x,nein,images/gaia.jpg,220,220
8,Scythe,2016,ja,ja,ja,nein,nein,images/scythe.jpg,440,220
9,Twilight_Imperium_(Fourth_Edition),2017,ja,ja,*,*,nein,images/twilight-4.jpg,660,220
10,Great_Western_Trail,2016,ja,nein,nein,nein,nein,images/great.jpg,880,220
1,Gloomhaven,2017,ja,ja,ja,*,nein,images/gloomhaven.jpg,0,0
2,Pandemic_Legacy:_Season_1,2015,ja,ja,ja,nein,nein,images/pandemic.jpg,220,0
3,Through_the_Ages:_A_New_Story_of_Civilization,2015,ja,ja,nein,nein,nein,images/through.jpg,440,0
4,Terraforming_Mars,2016,ja,ja,ja,ja,nein,images/mars.jpg,660,0
5,Twilight_Struggle,2005,ja,ja,ja,ja,nein,images/twilight.jpg,880,0
6,Star_Wars:_Rebellion,2016,ja,ja,ja,nein,nein,images/rebellion.jpg,0,220
7,Gaia_Project,2017,nein,x,x,x,nein,images/gaia.jpg,220,220
8,Scythe,2016,ja,ja,ja,nein,nein,images/scythe.jpg,440,220
9,Twilight_Imperium_(Fourth_Edition),2017,ja,ja,*,*,nein,images/twilight-4.jpg,660,220
10,Great_Western_Trail,2016,ja,nein,nein,nein,nein,images/great.jpg,880,220